track_id,track_name,lyrics
143449575,リビングデッド・ユース,さあ目を閉じたまま歩き疲れたこの廃墟またどこへ行くそう僕らは未だ大人になれず彷徨ってはまた間違ってこんな悲しみと痛みさえどうせ手放せないのならば全部この手で抱きしめてはちょうど遊ばせと笑えるささあ呪われたまま笑い疲れたこの現世またどこへ行くもう息も続かない咽喉も震えない失ってまた躊躇って嫌いを吊し上げ帰りの会どうせ負けてしまうのならば弱いまま逃げてしまえたらいい決して見えないあかりの先へChicchic存在証明願望や絶望、見ないで歌う
139531118,Peace Sign,オーオオオオオオオオオオオオいつか僕らの上をスレスレに通り過ぎていったあの飛行機を不思議なくらいに憶えてる意味もないのになぜか不甲斐なくて泣いた日の夜にただ強くなりたいと願ってたそのために必要な勇気を探し求めていた残酷な運命が定まってるとしてそれがいつの日か僕の前に現れるとしてただ一瞬この一瞬息ができるならどうでもいいと思えたその心をもう一度遠くへ行け遠くへ行けと僕の中で誰かが歌うどうしようもないほど熱烈にいつだって目を腫らした君が二度と悲しまないように笑えるそんなヒーローになるための歌さらば掲げろピースサイン
138232161,灰色と青 ( + 菅田将暉 ),袖丈が覚束無い夏の終わり明け方の電車に揺られて思い出した懐かしいあの風景沢山の遠回りを繰り返して同じ様な町並みがただ通り過ぎた窓に僕が写ってる君は今もあの頃みたいにいるのだろうかひしゃげて曲がったあの自転車で走り回った馬鹿馬鹿しい綱渡り膝に滲んだ血今はなんだかひどく虚しいどれだけ背丈が変わろうとも変わらない何かがありますようにくだらない面影に励まされ今も歌う今も歌う今も歌う忙しなく街を走るタクシーに
183678358,馬と鹿,歪んで傷だらけの春麻酔も打たずに歩いた体の奥底で響く生き足りないと強くまだ味わうさ噛み終えたガムの味冷めきれないままの心でひとつひとつなくした果てにようやく残ったものこれが愛じゃなければなんと呼ぶのか僕は知らなかった呼べよ花の名前をただ一つだけ張り裂けるくらいに鼻先が触れる呼吸が止まる痛みは消えないままでいい
199987452,まちがいさがし,まちがいさがしの間違いの方に生まれてきたような気でいたけどまちがいさがしの正解の方じゃきっと出逢えなかったと思う相応しく笑い合えることなぜだろうか涙が出ること君の眼が貫いた僕の胸をまっすぐその日から何もかも変わり果てた気がした風に飛ばされそうな深い春の隅で退屈なくらいに何気なくそばにいて
199987456,TEENAGE RIOT,潮溜まりで野垂れ死ぬんだ勇ましい背伸びの果てのメンソールワゴンで二足半額のコンバーストワイライト匂い出すメロディー今サイコロ振るように日々を生きてニタニタ笑う意味はあるか誰も興味がないそのGコードを君はひどく愛していたんだ煩わしい心すらいつかは全て灰になるのならその花びらを瓶に詰め込んで火を放て今ここで誰より強く願えばそのまま遠く雷鳴に飛び込んで歌えるさカスみたいなだけど確かなバースデイバースデイソング
143449578,アイネクライネ,あたしあなたにあえて本当に嬉しいのに当たり前のようにそれらすべてが悲しいんだ今痛いくらい幸せな思い出がいつか来るお別れを育てて歩く誰かの居場所を奪い生きるくらいならばもうあたしは石ころにでもなれたならいいなだとしたら勘違いも戸惑いも無いそうやってあなたまでも知らないままであなたにあたしの思いが全部伝わって欲しいのに誰にもいえない秘密があって嘘をついてしまうのだあなたが思えば思うよりいくつもあたしは意気地がないのにどうしてどうしてどうして消えない悲しみも
138232155,春雷,現れたそれは春の真っ最中えも言えぬまま輝いていたどんな言葉もどんな手振りも足りやしないみたいんだその日から僕の胸には嵐が住み着いたまま離れないんだ人の声を借りた蒼い眼の落雷だ揺れながら踊るその髪の黒が他のどれより嫋やかでしたすっと消えそうな真っ白い肌によく似合ってましたあなたにはこの世界の彩りがどう見えるのか知りたくて今頬に手を伸ばした壊れそうでただ怖かった全てはあなたの思い通り悲しくって散らばった思いも全てあなたがくれたプレゼントゆらゆら吹かれて深い惑い痛み憂い恋しい言葉にするのも形にするのもそのどれもが覚束なくってただ目を見つめたするとあなたはふっと優しく笑ったんだ嗄れた心もさざめく秘密も気がつけば粉々になって
138232160,打上花火,あの日見渡した渚を今も思い出すんだ砂の上に刻んだ言葉君の後ろ姿寄り返す波が足元をよぎり何かを攫う夕凪の中日暮れだけが通り過ぎて行くパッと光って咲いた花火を見ていたきっとまだ終わらない夏が曖昧な心を解かして繋いだこの夜が続いて欲しかった「あと何度君と同じ花火を見られるかな」って
84188460,Flowerwall,あの日君に出会えたそのときから透明の血が僕ら二人に通い悲しみも優しさも希望もまた絶望も分け合えるようになった知りたいことがいくつもあるというのに僕らの時間はあまりに短くあとどれほどだろうか君と過ごす時間は灯りが切れるのは君のその声が優しく響いたこんな憂いも吹いて飛ばすようにフラワーウォール目の前に色とりどりの花でできた壁が今立ちふさがる僕らを拒むのか何かから守るためなのか解らずに立ち竦んでるそれを僕らは運命と呼びながら
138232148,飛燕,翼さえあればと灰を前に嘆いていた鳥のように飛んでいくあの雲に憧れて慰めも追いつかない一人きり空の果て傷に傷を重ねてまだ誰かが泣いている夜の底に朝の淵にこそ響く歌があると呼ぶ声が聞こえたらそれが羽になるずっと風が吹いていたあの頃から変わらぬまま君のためならば何処へでも行こう空を駆けて
139531120,Orion,あなたの指がその胸がその瞳が眩しくて少し眩暈がする夜もあるそれは不意に落ちてきてあまりにも暖かくて飲み込んだ七色の星弾ける火花みたいにぎゅっと僕を困らせたそれでまだ歩いてゆけること教わったんだ神様どうかどうか声を聞かせてほんのちょっとでいいからもう二度と離れないようにあなたと二人あの星座のように結んで欲しくて
72147463,Santa Maria,掌をふたつ重ねたあいだ一枚の硝子で隔てられていたここは面会室あなたと僕は決してひとつになりあえないそのままで話をしている今呪いにかけられたままふたりでいくつも嘘をついて歩いていくのだろうかしとやかに重たい沈黙と優しさが見開いた目とその目を繋いでいたあなたは少し笑ったOhサンタマリア何も言わないさ惑うだけの言葉で満たすくらいならばOh様々な幸せを砕いて祈り疲れ漸くあなたに会えたのだから一緒にいこうあの光の方へ
139531127,Nighthawks,あの日眠れずに眺めてた螺旋のフィラメント退屈な映画のワンカット半開きのドアもしもこのまんま明日が来ないならどうしようか？朝が来て全部終わってたら僕はどこへ行こう完璧だと思える夜を探していたんだ今はとにかく星が見たい君の隣で何もないこの手で掴めるのが残りあと一つだけならそれが伸ばされた君の手であってほしいと思うあまりに綺麗だと恐ろしいから汚れているくらいがいいああそれくらいでいい僕らの願う未来あの日夢の中暮らしてた架空のストリート本当にあるんだと信じ込み探した地図の上上手く伝わらない想いだけが胸に残った
143449579,メランコリーキッチン,あなたの横顔や髪の色が静かな机に並んで見えた少し薄味のポテトの中塩っけ多すぎたパスタの中あなたがそばにいない夜の底で嫌ってほど自分の小ささを見た下らない諍いや涙の中おどけて笑ったその顔の中誰もいないキッチン靡かないカーテンいえないいえないな独りでいいやなんて話そう声を出して明るい未来について間違えて凍えてもそばにいれるように笑って笑って笑ってそうやってきっと魔法にかかったように世界は作り変わってこの部屋に立ちこめた救えない憂鬱を
172445458,海の幽霊,開け放たれたこの部屋には誰もいない潮風の匂い滲みついた椅子がひとつあなたが迷わないように空けておくよ軋む戸を叩いてなにから話せばいいのかわからなくなるかな星が降る夜にあなたにあえたあの夜を忘れはしない大切なことは言葉にならない夏の日に起きた全て
199987454,迷える羊,ねえ生まれてきた日を思い出せるかいシナリオの最初の台詞を舞台は巡り演劇は続く楽屋にはサンタマリアがいない最初で最後の歌を上手く歌えないのに監督たちは沈黙を守る脚本の終わりは書きあがっていない祈る様に僕は口を開いた「千年後の未来には僕らは生きていない
